9.538928747177124   : ->BMS     : 31 02 02 | 2d 0f
9.570258140563965   : <-BMS     : 31 82 0f | 02 19 00 00 00 02 64 00 01 00 19 19 19 19 19
9.633626461029053   : ->BMS     : 31 02 02 | 2d 0f
9.665201425552368   : <-BMS     : 31 82 0f | 02 19 00 00 00 02 64 00 01 00 19 19 19 19 19
9.739337921142578   : ->BMS     : 31 02 02 | 09 24
9.781028509140015   : <-BMS     : 31 82 24 | 42 55 53 39 4c 4e 32 53 36 30 39 30 30 30 36 35 2a 29 1d 21 26 0d 1e b0 46 3c 37 32 ec f1 01 30 32 c8 00 e0
9.834391355514526   : ->FOC     : 20 02 02 | 05 08
9.866225481033325   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
9.93866777420044    : ->FOC     : 20 01 01 | 03
12.175300121307373  : ->BMS     : 31 02 02 | 09 24
12.21671438217163   : <-BMS     : 31 82 24 | 42 55 53 39 4c 4e 32 53 36 30 39 30 30 30 36 35 2a 29 1d 21 26 0d 1e b0 46 3c 37 32 ec f1 01 30 32 c8 00 e0
12.373597145080566  : ->BMS     : 31 02 02 | 09 24
12.415381908416748  : <-BMS     : 31 82 24 | 42 55 53 39 4c 4e 32 53 36 30 39 30 30 30 36 35 2a 29 1d 21 26 0d 1e b0 46 3c 37 32 ec f1 01 30 32 c8 00 e0
12.581933736801147  : ->BMS     : 31 02 02 | 09 24
12.623975992202759  : <-BMS     : 31 82 24 | 42 55 53 39 4c 4e 32 53 36 30 39 30 30 30 36 35 2a 29 1d 21 26 0d 1e b0 46 3c 37 32 ec f1 01 30 32 c8 00 e0
12.781510591506958  : ->BMS     : 31 02 02 | 09 24
12.822721004486084  : <-BMS     : 31 82 24 | 42 55 53 39 4c 4e 32 53 36 30 39 30 30 30 36 35 2a 29 1d 21 26 0d 1e b0 46 3c 37 32 ec f1 01 30 32 c8 00 e0
12.989998817443848  : ->BMS     : 31 02 02 | 09 24
13.0212721824646    : <-BMS     : 31 82 24 | 42 55 53 39 4c 4e 32 53 36 30 39 30 30 30 36 35 2a 29 1d 21 26 0d 1e b0 46 3c 37 32 ec f1 01 30 32 c8 00 e0
13.190038442611694  : ->BMS     : 31 02 02 | 09 24
13.231825351715088  : <-BMS     : 31 82 24 | 42 55 53 39 4c 4e 32 53 36 30 39 30 30 30 36 35 2a 29 1d 21 26 0d 1e b0 46 3c 37 32 ec f1 01 30 32 c8 00 e0
13.39616870880127   : ->BMS     : 31 02 02 | 2d 0f
13.427968740463257  : <-BMS     : 31 82 0f | 02 19 00 00 00 00 64 00 00 00 19 19 19 19 19
13.594346523284912  : ->BMS     : 31 02 02 | 2d 0f
13.625324249267578  : <-BMS     : 31 82 0f | 02 19 00 00 00 00 64 00 00 00 19 19 19 19 19
13.803310871124268  : ->BMS     : 31 02 02 | 2d 0f
13.83433222770691   : <-BMS     : 31 82 0f | 02 19 00 00 00 00 64 00 00 00 19 19 19 19 19
14.001210451126099  : ->BMS     : 31 02 02 | 2d 0f
14.032473087310791  : <-BMS     : 31 82 0f | 02 19 00 00 00 00 64 00 00 00 19 19 19 19 19
14.211544513702393  : ->BMS     : 31 02 02 | 2d 0f
14.232303380966187  : <-BMS     : 31 82 0f | 02 19 00 00 00 00 64 00 00 00 19 19 19 19 19
14.41012454032898   : ->BMS     : 31 02 02 | 2d 0f
14.44098687171936   : <-BMS     : 31 82 0f | 02 19 00 00 00 00 64 00 00 00 19 19 19 19 19
59.04899549484253   : ->FOC     : 20 01 01 | 03
59.2482373714447    : ->FOC     : 20 01 01 | 03
59.45487666130066   : ->FOC     : 20 01 01 | 03
59.66449999809265   : ->FOC     : 20 01 01 | 03
59.86344385147095   : ->FOC     : 20 01 01 | 03
60.0628387928009    : ->FOC     : 20 01 01 | 03
60.272830963134766  : ->FOC     : 20 01 01 | 03
60.46832990646362   : ->FOC     : 20 01 01 | 03
60.49982523918152   : <-FOC     : 20 81 10 | 4d 55 31 33 33 37 33 42 33 33 32 30 30 32 31 36
60.67788124084473   : ->FOC     : 20 05 02 | 73 80
60.688647747039795  : <-FOC     : 20 85 01 | ce
60.78084349632263   : ->BMS     : 31 02 02 | 2d 0f
60.812402963638306  : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
60.97992992401123   : ->FOC     : 20 02 02 | 05 08
61.011497259140015  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
61.0958685874939    : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
61.13853454589844   : <-Dash    : 10 84 01 | 01
61.19109606742859   : ->BMS     : 31 02 02 | 2d 0f
61.21252250671387   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
61.285813331604004  : ->FOC     : 20 02 02 | 05 08
61.317354679107666  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
61.40093278884888   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
61.44197916984558   : <-Dash    : 10 84 01 | 01
61.494462728500366  : ->BMS     : 31 02 02 | 2d 0f
61.515817165374756  : <-BMS     : 31 82 0f | 02 19 00 00 00 02 64 00 00 00 19 19 19 19 19
61.5892174243927    : ->FOC     : 20 02 02 | 05 08
61.62028884887695   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
61.71339797973633   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
61.7454571723938    : <-Dash    : 10 84 01 | 01
61.797725439071655  : ->BMS     : 31 02 02 | 2d 0f
61.82871627807617   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
61.90203881263733   : ->FOC     : 20 02 02 | 05 08
61.923089265823364  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
62.01743197441101   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
62.03858232498169   : <-Dash    : 10 84 01 | 01
62.101908922195435  : ->BMS     : 31 02 02 | 2d 0f
62.133517026901245  : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
62.207133531570435  : ->FOC     : 20 02 02 | 05 08
62.22825503349304   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
62.32287955284119   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
62.34399700164795   : <-Dash    : 10 84 01 | 01
62.406195640563965  : ->BMS     : 31 02 02 | 2d 0f
62.4371440410614    : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
62.51011562347412   : ->FOC     : 20 02 02 | 05 08
62.53175163269043   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
62.62613606452942   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
62.647318840026855  : <-Dash    : 10 84 01 | 01
62.709961891174316  : ->BMS     : 31 02 02 | 2d 0f
62.741058111190796  : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
62.81475234031677   : ->FOC     : 20 02 02 | 05 08
62.83584117889404   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
62.92864918708801   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
62.97041630744934   : <-Dash    : 10 84 01 | 01
63.01218366622925   : ->unknown : 70 02 02 | 20 06
63.11717939376831   : ->FOC     : 20 02 02 | 05 08
63.1484854221344    : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
63.23190188407898   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
63.27381372451782   : <-Dash    : 10 84 01 | 01
63.32646942138672   : ->BMS     : 31 02 02 | 2d 0f
63.34763479232788   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
63.42034363746643   : ->FOC     : 20 02 02 | 05 08
63.451401710510254  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
63.5353000164032    : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
63.57751250267029   : <-Dash    : 10 84 01 | 01
63.630138874053955  : ->unknown : 70 02 02 | 20 06
63.72489857673645   : ->FOC     : 20 02 02 | 05 08
63.756458044052124  : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
63.849650859832764  : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
63.87046027183533   : <-Dash    : 10 84 01 | 01
63.93303179740906   : ->BMS     : 31 02 02 | 2d 0f
63.96402430534363   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
64.03689885139465   : ->FOC     : 20 02 02 | 05 08
64.05793690681458   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
64.15198397636414   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
64.17316746711731   : <-Dash    : 10 84 01 | 01
64.23633098602295   : ->unknown : 70 02 02 | 20 06
64.34260106086731   : ->FOC     : 20 02 02 | 05 08
64.36366581916809   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
64.45606994628906   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
64.47720980644226   : <-Dash    : 10 84 01 | 01
64.54013085365295   : ->BMS     : 31 02 02 | 2d 0f
64.57207536697388   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
64.64569902420044   : ->FOC     : 20 02 02 | 05 08
64.66733264923096   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
64.76110816001892   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
64.78277111053467   : <-Dash    : 10 84 01 | 01
64.8455057144165    : ->unknown : 70 02 02 | 20 06
64.9489004611969    : ->FOC     : 20 02 02 | 05 08
64.96998429298401   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
65.06306028366089   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
65.10431432723999   : <-Dash    : 10 84 01 | 01
65.15632677078247   : ->BMS     : 31 02 02 | 2d 0f
65.17741107940674   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
65.25124382972717   : ->FOC     : 20 02 02 | 05 08
65.28313827514648   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
65.36737942695618   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
65.4089207649231    : <-Dash    : 10 84 01 | 01
65.46136522293091   : ->unknown : 70 02 02 | 20 06
65.55609846115112   : ->FOC     : 20 02 02 | 05 08
65.58773946762085   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
65.67198872566223   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
65.70395731925964   : <-Dash    : 10 84 01 | 01
65.76707053184509   : ->BMS     : 31 02 02 | 2d 0f
65.78834414482117   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
65.8621940612793    : ->FOC     : 20 02 02 | 05 08
65.88343238830566   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
65.97700667381287   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
66.00816416740417   : <-Dash    : 10 84 01 | 01
66.07068252563477   : ->unknown : 70 02 02 | 20 06
66.16385674476624   : ->FOC     : 20 02 02 | 05 08
