2.7428388595581055  : ->FOC     : 20 01 01 | 03
2.9431731700897217  : ->FOC     : 20 01 01 | 03
3.15293288230896    : ->FOC     : 20 01 01 | 03
3.3584635257720947  : ->FOC     : 20 01 01 | 03
3.558582067489624   : ->FOC     : 20 01 01 | 03
3.7585854530334473  : ->FOC     : 20 01 01 | 03
3.969104528427124   : ->FOC     : 20 01 01 | 03
4.1684794425964355  : ->FOC     : 20 01 01 | 03
4.199923992156982   : <-FOC     : 20 81 10 | 4d 55 31 33 33 37 33 42 33 33 32 30 30 32 31 36
4.376175403594971   : ->FOC     : 20 05 02 | 73 80
4.386850833892822   : <-FOC     : 20 85 01 | ce
4.469527959823608   : ->BMS     : 31 02 02 | 2d 0f
4.501381874084473   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
4.680898189544678   : ->FOC     : 20 02 02 | 05 08
4.701669692993164   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
4.796410322189331   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
4.839172124862671   : <-Dash    : 10 84 01 | 01
4.881381273269653   : ->BMS     : 31 02 02 | 2d 0f
4.913018703460693   : <-BMS     : 31 82 0f | 02 19 00 00 00 02 64 00 00 00 19 19 19 19 19
4.986474990844727   : ->FOC     : 20 02 02 | 05 08
5.007889986038208   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
5.102559804916382   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
5.134671926498413   : <-Dash    : 10 84 01 | 01
5.187671184539795   : ->BMS     : 31 02 02 | 2d 0f
5.219553470611572   : <-BMS     : 31 82 0f | 02 19 00 00 00 02 64 00 00 00 19 19 19 19 19
5.291983366012573   : ->FOC     : 20 02 02 | 05 08
5.312740802764893   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
5.405038833618164   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
