29.14373755455017   : ->FOC     : 20 01 01 | 01
29.260340690612793  : ->FOC     : 20 01 01 | 01
29.388930082321167  : ->FOC     : 20 01 01 | 01
29.504886627197266  : ->FOC     : 20 01 01 | 01
29.62231159210205   : ->FOC     : 20 01 01 | 01
29.740337133407593  : ->FOC     : 20 01 01 | 01
29.867661476135254  : ->FOC     : 20 01 01 | 01
29.98374629020691   : ->FOC     : 20 01 01 | 01
30.109137058258057  : ->FOC     : 20 01 01 | 01
30.119794130325317  : <-FOC     : 20 81 01 | 00
30.222715854644775  : ->FOC     : 20 01 01 | 03
30.254591703414917  : <-FOC     : 20 81 10 | 4d 55 4d 33 46 38 33 42 34 33 34 30 30 39 34 39
30.34976100921631   : ->FOC     : 20 01 01 | 02
30.371115684509277  : <-FOC     : 20 81 10 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
30.46533226966858   : ->FOC     : 20 01 01 | 04
30.47583246231079   : <-FOC     : 20 81 01 | 02
30.591452836990356  : ->FOC     : 20 05 02 | 60 9a
30.602023601531982  : <-FOC     : 20 85 01 | ce
30.729201793670654  : ->FOC     : 20 02 02 | 05 09
30.750258207321167  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
30.845650672912598  : ->BMS     : 31 02 02 | 2d 0f
30.870397567749023  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 22
30.98577857017517   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
31.02815842628479   : <-Dash    : 10 84 01 | 01
31.101603031158447  : ->FOC     : 20 02 02 | 05 09
31.133398294448853  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
31.21890878677368   : ->unknown : 70 02 02 | 20 06
31.363930225372314  : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
31.395527839660645  : <-Dash    : 10 84 01 | 01
31.47992992401123   : ->FOC     : 20 02 02 | 05 09
31.51335835456848   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
31.598357439041138  : ->BMS     : 31 02 02 | 3c 28
31.640655279159546  : <-BMS     : 31 82 28 | 0e a1 0e a1 0e a0 0e a3 0e a6 0e 9e 0e a4 0e a4 0e a6 0e 91 0e a4 0e a8 0e a6 00 00 00 00 00 00 00 00 00 00 00 00 00 00
31.737157344818115  : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
31.779691696166992  : <-Dash    : 10 84 01 | 01
31.864855766296387  : ->FOC     : 20 02 02 | 05 09
31.886109113693237  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
