30.4516179561615    : ->FOC     : 20 01 01 | 03
30.654239416122437  : ->FOC     : 20 01 01 | 03
30.85543394088745   : ->FOC     : 20 01 01 | 03
31.046928882598877  : ->FOC     : 20 01 01 | 03
31.248239517211914  : ->FOC     : 20 01 01 | 03
31.45350480079651   : ->FOC     : 20 01 01 | 03
31.65505814552307   : ->FOC     : 20 01 01 | 03
31.856477737426758  : ->FOC     : 20 01 01 | 03
32.05687999725342   : ->FOC     : 20 01 01 | 03
32.15165662765503   : ->BMS     : 31 02 02 | 2d 0f
32.185466051101685  : <-BMS     : 31 82 0f | 01 e6 00 00 00 02 47 00 01 06 23 23 23 23 22
32.26013660430908   : ->FOC     : 20 01 01 | 03
32.28106451034546   : <-FOC     : 20 81 10 | 4d 4d 31 33 35 39 33 42 32 32 31 30 32 34 36 32
32.37539219856262   : ->Dash    : 10 04 0f | 02 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
32.459654808044434  : ->FOC     : 20 05 02 | 10 7b
32.47031044960022   : <-FOC     : 20 85 01 | ce
32.553712606430054  : ->BMS     : 31 02 02 | 2d 0f
32.58543825149536   : <-BMS     : 31 82 0f | 01 e6 00 00 00 02 47 00 01 06 23 23 23 23 22
32.754202365875244  : ->BMS     : 31 02 02 | 2d 0f
32.78579902648926   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 22
32.86051416397095   : ->FOC     : 20 02 02 | 05 08
32.88276124000549   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
32.96936297416687   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
32.990869760513306  : <-Dash    : 10 84 01 | ce
33.05561923980713   : ->BMS     : 31 02 02 | 2d 0f
33.08834433555603   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 22
33.16400623321533   : ->FOC     : 20 02 02 | 05 08
33.185404777526855  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
33.27049469947815   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
33.28105330467224   : <-Dash    : 10 84 01 | ce
33.35611367225647   : ->BMS     : 31 02 02 | 2d 0f
33.38783144950867   : <-BMS     : 31 82 0f | 01 e6 00 00 00 02 47 00 01 06 23 23 23 23 22
33.46327447891235   : ->FOC     : 20 02 02 | 05 08
33.48493671417236   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
33.57101392745972   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
33.581794023513794  : <-Dash    : 10 84 01 | ce
33.65666317939758   : ->BMS     : 31 02 02 | 2d 0f
33.688533782958984  : <-BMS     : 31 82 0f | 01 e6 00 00 00 02 47 00 01 06 23 23 23 23 22
33.763572454452515  : ->FOC     : 20 02 02 | 05 08
33.784717082977295  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
33.879390001297     : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
33.89035487174988   : <-Dash    : 10 84 01 | ce
33.96381735801697   : ->BMS     : 31 02 02 | 2d 0f
33.9957492351532    : <-BMS     : 31 82 0f | 01 e6 00 00 00 02 47 00 01 06 23 23 23 23 22
34.05975818634033   : ->FOC     : 20 02 02 | 05 08
34.09176850318909   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
34.176902770996094  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
34.18787240982056   : <-Dash    : 10 84 01 | ce
34.266313791275024  : ->BMS     : 31 02 02 | 2d 0f
34.287363052368164  : <-BMS     : 31 82 0f | 01 e6 00 00 00 02 47 00 01 06 23 23 23 23 22
34.36140704154968   : ->FOC     : 20 02 02 | 05 08
34.39314866065979   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
34.476587533950806  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
34.4978244304657    : <-Dash    : 10 84 01 | ce
34.56129860877991   : ->BMS     : 31 02 02 | 2d 0f
34.593194007873535  : <-BMS     : 31 82 0f | 01 e6 00 00 00 02 47 00 01 06 23 23 23 23 22
34.66745090484619   : ->FOC     : 20 02 02 | 05 08
34.689154863357544  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
34.775197982788086  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
34.78587317466736   : <-Dash    : 10 84 01 | ce
34.859869956970215  : ->BMS     : 31 02 02 | 2d 0f
34.891582012176514  : <-BMS     : 31 82 0f | 01 e6 00 00 00 02 47 00 01 06 23 23 23 23 23
34.96593499183655   : ->FOC     : 20 02 02 | 05 08
34.98755478858948   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
35.082695722579956  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
35.0936062335968    : <-Dash    : 10 84 01 | ce
35.16814398765564   : ->BMS     : 31 02 02 | 2d 0f
35.19014263153076   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
35.27082848548889   : ->FOC     : 20 02 02 | 05 08
35.29233765602112   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
35.376524925231934  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
35.387102365493774  : <-Dash    : 10 84 01 | ce
35.46170425415039   : ->BMS     : 31 02 02 | 2d 0f
35.49354028701782   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
35.567464113235474  : ->FOC     : 20 02 02 | 05 08
