80.2851448059082    : ->BMS     : 31 02 02 | 2d 0f
80.3170862197876    : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
80.38966512680054   : ->BMS     : 31 02 02 | 2d 0f
80.41089797019958   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
80.48454737663269   : ->BMS     : 31 02 02 | 09 24
80.53458738327026   : <-BMS     : 31 82 24 | 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f3
80.58840107917786   : ->FOC     : 20 02 02 | 05 08
80.68461871147156   : ->FOC     : 20 01 01 | 03
81.18852066993713   : ->BMS     : 31 02 02 | 2d 0f
81.2138147354126    : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
81.29005646705627   : ->BMS     : 31 02 02 | 2d 0f
81.31773328781128   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
81.38143610954285   : ->BMS     : 31 02 02 | 2d 0f
81.41323590278625   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
82.3858540058136    : ->BMS     : 31 02 02 | 2d 0f
82.41961407661438   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
82.48655867576599   : ->BMS     : 31 02 02 | 2d 0f
82.51897931098938   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
82.584552526474     : ->BMS     : 31 02 02 | 2d 0f
82.61664700508118   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
82.99524259567261   : ->BMS     : 31 02 02 | 09 24
83.02690625190735   : <-BMS     : 31 82 24 | 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f3
83.09095788002014   : ->BMS     : 31 02 02 | 09 24
83.13350510597229   : <-BMS     : 31 82 24 | 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f3
83.20067238807678   : ->BMS     : 31 02 02 | 09 24
83.23221397399902   : <-BMS     : 31 82 24 | 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f3
105.45157146453857  : ->FOC     : 20 01 01 | 03
105.65167760848999  : ->FOC     : 20 01 01 | 03
105.85384750366211  : ->FOC     : 20 01 01 | 03
106.05549383163452  : ->FOC     : 20 01 01 | 03
106.25305151939392  : ->FOC     : 20 01 01 | 03
106.4644284248352   : ->FOC     : 20 01 01 | 03
106.65370035171509  : ->FOC     : 20 01 01 | 03
106.85878777503967  : ->FOC     : 20 01 01 | 03
107.0569634437561   : ->FOC     : 20 01 01 | 03
107.1550772190094   : ->BMS     : 31 02 02 | 2d 0f
107.18665289878845  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
107.26664686203003  : ->FOC     : 20 01 01 | 03
107.37968158721924  : ->Dash    : 10 04 0f | 02 00 01 00 1e 40 00 00 00 00 64 00 cc cc 00
107.46419405937195  : ->FOC     : 20 01 01 | 03
107.56301474571228  : ->BMS     : 31 02 02 | 2d 0f
107.59531331062317  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
107.65934991836548  : ->FOC     : 20 01 01 | 03
107.77587080001831  : ->Dash    : 10 04 0f | 02 00 01 00 1e 40 00 00 00 00 64 00 cc cc 00
107.85797166824341  : ->FOC     : 20 01 01 | 03
107.96440887451172  : ->BMS     : 31 02 02 | 2d 0f
107.99607706069946  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
108.06400895118713  : ->FOC     : 20 01 01 | 03
108.17325234413147  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
108.26421928405762  : ->FOC     : 20 01 01 | 03
108.36717462539673  : ->BMS     : 31 02 02 | 2d 0f
108.38880228996277  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
108.46234774589539  : ->FOC     : 20 01 01 | 03
108.57434010505676  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
108.65939617156982  : ->FOC     : 20 01 01 | 03
108.76261234283447  : ->BMS     : 31 02 02 | 2d 0f
108.79442834854126  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
108.86773800849915  : ->FOC     : 20 01 01 | 03
108.98427414894104  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
109.06460618972778  : ->FOC     : 20 01 01 | 03
109.16423106193542  : ->BMS     : 31 02 02 | 2d 0f
