23.434959888458252  : ->FOC     : 20 01 01 | 01
23.445677757263184  : <-FOC     : 20 81 01 | 00
23.55545926094055   : ->FOC     : 20 01 01 | 03
23.589576244354248  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
24.1533420085907    : ->FOC     : 20 01 01 | 02
24.17413091659546   : <-FOC     : 20 81 10 | 55 31 45 30 32 56 31 31 55 31 45 30 32 56 31 31
24.53185272216797   : ->FOC     : 20 01 01 | 04
24.542351007461548  : <-FOC     : 20 81 01 | 11
24.64757776260376   : ->FOC     : 20 05 02 | 1c 86
24.668670415878296  : <-FOC     : 20 85 01 | ce
24.827800035476685  : ->FOC     : 20 02 02 | 05 08
24.848668575286865  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
24.948912143707275  : ->BMS     : 31 02 02 | 2d 0f
25.08222723007202   : ->Dash    : 10 04 0f | 06 20 01 00 00 00 00 00 00 00 00 00 cc cc 00
25.10309648513794   : <-Dash    : 10 84 01 | 01
25.214014053344727  : ->FOC     : 20 02 02 | 05 08
25.23510241508484   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
25.330095767974854  : ->unknown : 70 02 02 | 20 06
25.461482048034668  : ->Dash    : 10 04 0f | 06 20 01 00 00 00 00 00 00 00 00 00 cc cc 00
25.598097801208496  : ->FOC     : 20 02 02 | 05 08
25.618932962417603  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
25.724777936935425  : ->BMS     : 31 02 02 | 3c 28
25.756181716918945  : <-BMS     : 31 82 28 | 10 09 10 0c 10 09 10 0d 10 0d 10 0a 10 0d 10 11 10 0f 0f f8 10 0d 10 12 10 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00
25.852042198181152  : ->Dash    : 10 04 0f | 06 20 01 00 00 00 00 00 00 00 00 00 cc cc 00
25.883680820465088  : <-Dash    : 10 84 01 | 01
26.404099464416504  : ->FOC     : 20 02 02 | 05 08
26.4254310131073    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
26.544516801834106  : ->BMS     : 31 02 02 | 02 2b
