12.835031986236572  : ->FOC     : 20 01 01 | 03
13.452303647994995  : ->FOC     : 20 01 01 | 03
13.485716819763184  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
13.510769128799438  : ->FOC     : 20 05 02 | 1c 86
13.618565797805786  : ->FOC     : 20 02 02 | 05 08
13.650237083435059  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
13.672107458114624  : ->BMS     : 31 02 02 | 2d 0f
13.704823732376099  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
13.748124361038208  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
13.773167133331299  : <-Dash    : 10 84 01 | 01
13.827012538909912  : ->FOC     : 20 02 02 | 05 08
13.849131345748901  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
13.880873680114746  : ->BMS     : 31 02 02 | 2d 0f
13.902151107788086  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
13.948860883712769  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
13.980867862701416  : <-Dash    : 10 84 01 | 01
14.022931814193726  : ->FOC     : 20 02 02 | 05 08
14.04447317123413   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
14.07627272605896   : ->BMS     : 31 02 02 | 2d 0f
14.108466625213623  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
14.15129017829895   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
14.183330535888672  : <-Dash    : 10 84 01 | 01
14.225979328155518  : ->FOC     : 20 02 02 | 05 08
14.247841596603394  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
14.270205736160278  : ->BMS     : 31 02 02 | 2d 0f
14.303122997283936  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
14.341474294662476  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
14.384015083312988  : <-Dash    : 10 84 01 | 01
14.419812202453613  : ->FOC     : 20 02 02 | 05 08
14.447720289230347  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
14.46927547454834   : ->BMS     : 31 02 02 | 2d 0f
14.501475811004639  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
14.543750047683716  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
14.586474657058716  : <-Dash    : 10 84 01 | 01
14.619731903076172  : ->FOC     : 20 02 02 | 05 08
14.652075290679932  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
14.673316717147827  : ->BMS     : 31 02 02 | 2d 0f
14.705066442489624  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
14.747757196426392  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
14.789583683013916  : <-Dash    : 10 84 01 | 01
14.821188688278198  : ->FOC     : 20 02 02 | 05 08
14.853013515472412  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
14.874435901641846  : ->BMS     : 31 02 02 | 2d 0f
14.905748844146729  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
14.948092699050903  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
14.971853733062744  : <-Dash    : 10 84 01 | 01
15.02447247505188   : ->FOC     : 20 02 02 | 05 08
15.04621696472168   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
15.078055381774902  : ->BMS     : 31 02 02 | 2d 0f
15.109663486480713  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
15.142244100570679  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
15.163825988769531  : <-Dash    : 10 84 01 | 01
15.217756986618042  : ->FOC     : 20 02 02 | 05 08
15.253232717514038  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
15.270446062088013  : ->BMS     : 31 02 02 | 2d 0f
15.303014755249023  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
15.346291780471802  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
15.367278814315796  : <-Dash    : 10 84 01 | 01
15.42021632194519   : ->FOC     : 20 02 02 | 05 08
15.4531991481781    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
15.470314502716064  : ->BMS     : 31 02 02 | 2d 0f
15.504825830459595  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
15.547714233398438  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
15.586363077163696  : <-Dash    : 10 84 01 | 01
15.620310068130493  : ->FOC     : 20 02 02 | 05 08
15.652825117111206  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
15.67415976524353   : ->BMS     : 31 02 02 | 2d 0f
15.706238985061646  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
15.7487633228302    : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
15.781551837921143  : <-Dash    : 10 84 01 | 01
15.825244426727295  : ->FOC     : 20 02 02 | 05 08
15.84664249420166   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
15.878695487976074  : ->BMS     : 31 02 02 | 2d 0f
15.900476455688477  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
15.942385911941528  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
15.97423505783081   : <-Dash    : 10 84 01 | 01
16.017326831817627  : ->FOC     : 20 02 02 | 05 08
16.049574851989746  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
16.071150541305542  : ->BMS     : 31 02 02 | 2d 0f
16.103557586669922  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
16.15293312072754   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
16.186415672302246  : <-Dash    : 10 84 01 | 01
16.219100952148438  : ->FOC     : 20 02 02 | 05 08
16.25150156021118   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
16.273147344589233  : ->BMS     : 31 02 02 | 2d 0f
16.306984424591064  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
16.3498477935791    : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
16.386388540267944  : <-Dash    : 10 84 01 | 01
16.418565034866333  : ->FOC     : 20 02 02 | 05 08
16.450634479522705  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
16.472408771514893  : ->BMS     : 31 02 02 | 2d 0f
16.504422664642334  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
16.546996116638184  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
16.58890438079834   : <-Dash    : 10 84 01 | 01
16.62070918083191   : ->FOC     : 20 02 02 | 05 08
16.652953147888184  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
16.670430898666382  : ->BMS     : 31 02 02 | 2d 0f
16.702929496765137  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
16.747310876846313  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
16.789693593978882  : <-Dash    : 10 84 01 | 01
16.82139229774475   : ->FOC     : 20 02 02 | 05 08
16.843289613723755  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
16.874779224395752  : ->BMS     : 31 02 02 | 2d 0f
16.908098220825195  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
16.9405574798584    : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
16.961999893188477  : <-Dash    : 10 84 01 | 01
17.019073724746704  : ->FOC     : 20 02 02 | 05 08
17.04429864883423   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
17.079034566879272  : ->BMS     : 31 02 02 | 2d 0f
17.102993488311768  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
17.14611005783081   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
17.167447805404663  : <-Dash    : 10 84 01 | 01
17.22154402732849   : ->FOC     : 20 02 02 | 05 08
17.242594480514526  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
17.277583599090576  : ->BMS     : 31 02 02 | 2d 0f
17.298877716064453  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
17.34174942970276   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
17.373594522476196  : <-Dash    : 10 84 01 | 01
17.42660880088806   : ->FOC     : 20 02 02 | 05 08
17.448237895965576  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
