5.815754175186157   : ->FOC     : 20 01 01 | 03
6.426975250244141   : ->FOC     : 20 01 01 | 03
6.464121103286743   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
6.485167503356934   : ->FOC     : 20 05 02 | 1c 86
6.5983521938323975  : ->FOC     : 20 01 01 | 03
6.630089998245239   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
6.656921863555908   : ->FOC     : 20 05 02 | 1c 86
6.777458667755127   : ->BMS     : 31 02 02 | 2d 0f
6.913616895675659   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
6.9347124099731445  : <-Dash    : 10 84 01 | 01
6.955989599227905   : ->FOC     : 20 01 01 | 03
6.987809658050537   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
7.009153127670288   : ->FOC     : 20 05 02 | 1c 86
7.1319451332092285  : ->BMS     : 31 02 02 | 2d 0f
7.2633373737335205  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
7.284639596939087   : <-Dash    : 10 84 01 | 01
7.305909872055054   : ->FOC     : 20 01 01 | 03
7.337847948074341   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
7.369408845901489   : ->FOC     : 20 05 02 | 1c 86
7.480020046234131   : ->BMS     : 31 02 02 | 2d 0f
7.6103355884552     : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
7.631525278091431   : <-Dash    : 10 84 01 | 01
7.6630682945251465  : ->FOC     : 20 01 01 | 03
7.6923253536224365  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
7.713197469711304   : ->FOC     : 20 05 02 | 1c 86
7.827723503112793   : ->BMS     : 31 02 02 | 2d 0f
7.964751482009888   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
7.986321210861206   : <-Dash    : 10 84 01 | 01
8.02544093132019    : ->FOC     : 20 01 01 | 03
8.046741008758545   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
8.07686471939087    : ->FOC     : 20 05 02 | 1c 86
8.183969259262085   : ->BMS     : 31 02 02 | 2d 0f
8.321404933929443   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
8.34244155883789    : <-Dash    : 10 84 01 | 01
8.363681316375732   : ->FOC     : 20 01 01 | 03
8.395167589187622   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
8.426726341247559   : ->FOC     : 20 05 02 | 1c 86
8.540424585342407   : ->BMS     : 31 02 02 | 2d 0f
8.666868448257446   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
8.688141584396362   : <-Dash    : 10 84 01 | 01
8.719537258148193   : ->FOC     : 20 01 01 | 03
8.746387481689453   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
8.778411149978638   : ->FOC     : 20 05 02 | 1c 86
8.891330242156982   : ->BMS     : 31 02 02 | 2d 0f
9.029704093933105   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
9.040245532989502   : <-Dash    : 10 84 01 | 01
9.074732542037964   : ->FOC     : 20 01 01 | 03
9.096282482147217   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
9.12883710861206    : ->FOC     : 20 05 02 | 1c 86
9.24368405342102    : ->BMS     : 31 02 02 | 2d 0f
9.380877256393433   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
9.401753664016724   : <-Dash    : 10 84 01 | 01
9.423551082611084   : ->FOC     : 20 01 01 | 03
9.455415964126587   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
9.47702670097351    : ->FOC     : 20 05 02 | 1c 86
9.596307039260864   : ->BMS     : 31 02 02 | 2d 0f
9.728991746902466   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
9.75006651878357    : <-Dash    : 10 84 01 | 01
9.770869016647339   : ->FOC     : 20 01 01 | 03
9.806939840316772   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
9.828189134597778   : ->FOC     : 20 05 02 | 1c 86
9.950276613235474   : ->BMS     : 31 02 02 | 2d 0f
10.081867456436157  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
10.10268783569336   : <-Dash    : 10 84 01 | 01
10.1240873336792    : ->FOC     : 20 01 01 | 03
10.15582275390625   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
10.187403202056885  : ->FOC     : 20 05 02 | 1c 86
10.306440114974976  : ->BMS     : 31 02 02 | 2d 0f
10.438012838363647  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
10.448678016662598  : <-Dash    : 10 84 01 | 01
10.48031759262085   : ->FOC     : 20 01 01 | 03
10.513139009475708  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
10.535232543945312  : ->FOC     : 20 05 02 | 1c 86
10.65924334526062   : ->BMS     : 31 02 02 | 2d 0f
10.789100408554077  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
10.799683332443237  : <-Dash    : 10 84 01 | 01
10.831486701965332  : ->FOC     : 20 01 01 | 03
10.8640878200531    : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
10.885360479354858  : ->FOC     : 20 05 02 | 1c 86
11.000371932983398  : ->BMS     : 31 02 02 | 2d 0f
11.140756845474243  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
11.151762008666992  : <-Dash    : 10 84 01 | 01
11.186151027679443  : ->FOC     : 20 01 01 | 03
11.211606740951538  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
11.233111143112183  : ->FOC     : 20 05 02 | 1c 86
11.355045080184937  : ->BMS     : 31 02 02 | 2d 0f
11.488181591033936  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
11.508956670761108  : <-Dash    : 10 84 01 | 01
11.53033971786499   : ->FOC     : 20 01 01 | 03
11.561795711517334  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
11.589869976043701  : ->FOC     : 20 05 02 | 1c 86
11.710364580154419  : ->BMS     : 31 02 02 | 2d 0f
11.837889671325684  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
11.859620571136475  : <-Dash    : 10 84 01 | 01
11.880724430084229  : ->FOC     : 20 01 01 | 03
11.9125075340271    : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
11.944628477096558  : ->FOC     : 20 05 02 | 1c 86
12.056293249130249  : ->BMS     : 31 02 02 | 2d 0f
12.187158823013306  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
12.229593515396118  : <-Dash    : 10 84 01 | 01
12.262454986572266  : ->FOC     : 20 01 01 | 03
12.290661334991455  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
12.311834812164307  : ->FOC     : 20 05 02 | 1c 86
12.43735671043396   : ->BMS     : 31 02 02 | 2d 0f
12.564212560653687  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
12.585510015487671  : <-Dash    : 10 84 01 | 01
12.617680549621582  : ->FOC     : 20 01 01 | 03
12.639816045761108  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
12.691840410232544  : ->FOC     : 20 05 02 | 1c 86
12.786248445510864  : ->BMS     : 31 02 02 | 2d 0f
12.953474044799805  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
12.953474044799805  : <-Dash    : 10 84 01 | 01
13.004921436309814  : ->FOC     : 20 01 01 | 03
13.004921436309814  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
13.04931092262268   : ->FOC     : 20 05 02 | 1c 86
13.144257545471191  : ->BMS     : 31 02 02 | 2d 0f
13.289794683456421  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
13.289794683456421  : <-Dash    : 10 84 01 | 01
13.334949970245361  : ->FOC     : 20 01 01 | 03
13.38427209854126   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
13.38427209854126   : ->FOC     : 20 05 02 | 1c 86
13.525371074676514  : ->BMS     : 31 02 02 | 2d 0f
13.619328022003174  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
13.667824268341064  : <-Dash    : 10 84 01 | 01
13.667824268341064  : ->FOC     : 20 01 01 | 03
14.023674964904785  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
14.023674964904785  : ->FOC     : 20 05 02 | 1c 86
14.023674964904785  : ->BMS     : 31 02 02 | 2d 0f
14.023674964904785  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
14.023674964904785  : <-Dash    : 10 84 01 | 01
14.023674964904785  : ->FOC     : 20 01 01 | 03
14.05679702758789   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
14.078054428100586  : ->FOC     : 20 05 02 | 1c 86
14.19550895690918   : ->BMS     : 31 02 02 | 2d 0f
14.330582857131958  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
14.351831197738647  : <-Dash    : 10 84 01 | 01
14.373168230056763  : ->FOC     : 20 01 01 | 03
14.405014276504517  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
14.43661117553711   : ->FOC     : 20 05 02 | 1c 86
14.546957731246948  : ->BMS     : 31 02 02 | 2d 0f
14.68028712272644   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
14.701049327850342  : <-Dash    : 10 84 01 | 01
14.733014345169067  : ->FOC     : 20 01 01 | 03
14.754203796386719  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
14.785563230514526  : ->FOC     : 20 05 02 | 1c 86
14.905566930770874  : ->BMS     : 31 02 02 | 2d 0f
15.030378818511963  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
15.051408529281616  : <-Dash    : 10 84 01 | 01
15.084278106689453  : ->FOC     : 20 01 01 | 03
15.105552196502686  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
15.137298583984375  : ->FOC     : 20 05 02 | 1c 86
15.255932569503784  : ->BMS     : 31 02 02 | 2d 0f
15.388871669769287  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
15.410377502441406  : <-Dash    : 10 84 01 | 01
15.431331396102905  : ->FOC     : 20 01 01 | 03
15.46265172958374   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
15.484285831451416  : ->FOC     : 20 05 02 | 1c 86
15.60981273651123   : ->BMS     : 31 02 02 | 2d 0f
15.740936517715454  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
15.762278079986572  : <-Dash    : 10 84 01 | 01
15.784069299697876  : ->FOC     : 20 01 01 | 03
15.815979719161987  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
15.838615894317627  : ->FOC     : 20 05 02 | 1c 86
15.95879340171814   : ->BMS     : 31 02 02 | 2d 0f
16.095542192459106  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
16.117043495178223  : <-Dash    : 10 84 01 | 01
16.138790607452393  : ->FOC     : 20 01 01 | 03
16.174065828323364  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
16.195492267608643  : ->FOC     : 20 05 02 | 1c 86
16.30745506286621   : ->BMS     : 31 02 02 | 2d 0f
16.442660093307495  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
16.46433138847351   : <-Dash    : 10 84 01 | 01
16.490827798843384  : ->FOC     : 20 01 01 | 03
16.52265429496765   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
16.543944120407104  : ->FOC     : 20 05 02 | 1c 86
16.662135362625122  : ->BMS     : 31 02 02 | 2d 0f
16.79564332962036   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
16.817035913467407  : <-Dash    : 10 84 01 | 01
16.838804006576538  : ->FOC     : 20 01 01 | 03
16.87036442756653   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
16.90183973312378   : ->FOC     : 20 05 02 | 1c 86
17.019370079040527  : ->BMS     : 31 02 02 | 2d 0f
17.143510818481445  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
17.175251722335815  : <-Dash    : 10 84 01 | 01
17.19645118713379   : ->FOC     : 20 01 01 | 03
17.22847557067871   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
17.24990463256836   : ->FOC     : 20 05 02 | 1c 86
17.371854543685913  : ->BMS     : 31 02 02 | 2d 0f
17.50393843650818   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
17.525397062301636  : <-Dash    : 10 84 01 | 01
17.546744346618652  : ->FOC     : 20 01 01 | 03
17.57845950126648   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
