3.748547077178955   : ->FOC     : 20 01 01 | 03
4.372036933898926   : ->FOC     : 20 01 01 | 03
4.3978307247161865  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
4.519316673278809   : ->FOC     : 20 05 02 | 1c 86
4.530227899551392   : <-FOC     : 20 85 01 | ce
4.562240839004517   : ->BMS     : 31 02 02 | 2d 0f
4.678630352020264   : ->FOC     : 20 02 02 | 05 08
4.700230121612549   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
4.742574453353882   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
4.764387369155884   : <-Dash    : 10 84 01 | 01
4.876056909561157   : ->FOC     : 20 02 02 | 05 08
4.897476434707642   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
4.939907789230347   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
4.975984811782837   : <-Dash    : 10 84 01 | 01
5.071368455886841   : ->FOC     : 20 02 02 | 05 08
5.103522539138794   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
5.145532846450806   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
5.172234535217285   : <-Dash    : 10 84 01 | 01
5.269855976104736   : ->FOC     : 20 02 02 | 05 08
5.301635265350342   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
5.3442559242248535  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
5.376557350158691   : <-Dash    : 10 84 01 | 01
5.4731550216674805  : ->FOC     : 20 02 02 | 05 08
5.504906177520752   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
5.5373687744140625  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
5.572035074234009   : <-Dash    : 10 84 01 | 01
5.669740438461304   : ->FOC     : 20 02 02 | 05 08
5.70182728767395    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
5.744513988494873   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
5.776769161224365   : <-Dash    : 10 84 01 | 01
5.873983144760132   : ->FOC     : 20 02 02 | 05 08
5.89544677734375    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
5.9377052783966064  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
5.979817152023315   : <-Dash    : 10 84 01 | 01
6.074746370315552   : ->FOC     : 20 02 02 | 05 08
6.096177577972412   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
6.13904070854187    : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
6.209312915802002   : <-Dash    : 10 84 01 | 01
6.2777628898620605  : ->FOC     : 20 02 02 | 05 08
6.3091981410980225  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
6.341660022735596   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
6.3801429271698     : <-Dash    : 10 84 01 | 01
6.470126390457153   : ->FOC     : 20 02 02 | 05 08
6.5019543170928955  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
6.544144153594971   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
6.565231084823608   : <-Dash    : 10 84 01 | 01
6.677786111831665   : ->FOC     : 20 02 02 | 05 08
6.698948621749878   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
6.741306304931641   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
6.768949270248413   : <-Dash    : 10 84 01 | 01
6.875413417816162   : ->FOC     : 20 02 02 | 05 08
6.89699125289917    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
6.940024137496948   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
6.975970268249512   : <-Dash    : 10 84 01 | 01
7.069379091262817   : ->FOC     : 20 02 02 | 05 08
7.10136342048645    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
7.143058776855469   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
7.164338111877441   : <-Dash    : 10 84 01 | 01
7.276136875152588   : ->FOC     : 20 02 02 | 05 08
7.297780990600586   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
7.34004282951355    : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
7.376547813415527   : <-Dash    : 10 84 01 | 01
7.473924398422241   : ->FOC     : 20 02 02 | 05 08
7.495060205459595   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
7.537706136703491   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
7.575364351272583   : <-Dash    : 10 84 01 | 01
7.669475555419922   : ->FOC     : 20 02 02 | 05 08
7.7020814418792725  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
7.744277715682983   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
7.775933742523193   : <-Dash    : 10 84 01 | 01
7.869145393371582   : ->FOC     : 20 02 02 | 05 08
7.9012510776519775  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
7.943497657775879   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
7.975819826126099   : <-Dash    : 10 84 01 | 01
8.069740056991577   : ->FOC     : 20 02 02 | 05 08
8.101693630218506   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
8.143882036209106   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
8.186208486557007   : <-Dash    : 10 84 01 | 01
8.277331352233887   : ->FOC     : 20 02 02 | 05 08
8.29854965209961    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
8.340794086456299   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
8.382887840270996   : <-Dash    : 10 84 01 | 01
8.473723411560059   : ->FOC     : 20 02 02 | 05 08
8.495125770568848   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
8.537991285324097   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
8.559272766113281   : <-Dash    : 10 84 01 | 01
8.675572395324707   : ->FOC     : 20 02 02 | 05 08
8.697039604187012   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
8.7397780418396     : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
8.761343717575073   : <-Dash    : 10 84 01 | 01
8.873868465423584   : ->FOC     : 20 02 02 | 05 08
8.895509719848633   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
8.937926292419434   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
8.959622621536255   : <-Dash    : 10 84 01 | 01
9.0769202709198     : ->FOC     : 20 02 02 | 05 08
9.098463535308838   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
9.140950918197632   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
9.169188261032104   : <-Dash    : 10 84 01 | 01
9.269265413284302   : ->FOC     : 20 02 02 | 05 08
9.301123142242432   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
9.343662023544312   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
9.375521421432495   : <-Dash    : 10 84 01 | 01
9.47751784324646    : ->FOC     : 20 02 02 | 05 08
9.499187469482422   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
9.541673421859741   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
9.56360387802124    : <-Dash    : 10 84 01 | 01
9.671708345413208   : ->FOC     : 20 02 02 | 05 08
9.69419813156128    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
9.736398220062256   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
9.768630743026733   : <-Dash    : 10 84 01 | 01
9.869292497634888   : ->FOC     : 20 02 02 | 05 08
9.901356220245361   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
9.933515310287476   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
9.975315570831299   : <-Dash    : 10 84 01 | 01
10.068804025650024  : ->FOC     : 20 02 02 | 05 08
10.100336074829102  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
10.142593145370483  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
10.17513632774353   : <-Dash    : 10 84 01 | 01
10.275052547454834  : ->FOC     : 20 02 02 | 05 08
10.295796871185303  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
10.337364912033081  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
10.375513076782227  : <-Dash    : 10 84 01 | 01
10.47734808921814   : ->FOC     : 20 02 02 | 05 08
10.498696565628052  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
10.540873765945435  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
10.56853723526001   : <-Dash    : 10 84 01 | 01
10.669135808944702  : ->FOC     : 20 02 02 | 05 08
10.700579404830933  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
10.742562294006348  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
10.774742126464844  : <-Dash    : 10 84 01 | 01
10.87668752670288   : ->FOC     : 20 02 02 | 05 08
10.898313760757446  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
10.941512823104858  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
10.97374939918518   : <-Dash    : 10 84 01 | 01
11.068559885025024  : ->FOC     : 20 02 02 | 05 08
11.101022958755493  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
11.143726110458374  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
11.175976276397705  : <-Dash    : 10 84 01 | 01
11.269027709960938  : ->FOC     : 20 02 02 | 05 08
11.300636053085327  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
11.342484951019287  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
11.375203609466553  : <-Dash    : 10 84 01 | 01
11.476256370544434  : ->FOC     : 20 02 02 | 05 08
11.497843503952026  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
11.540282964706421  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
11.572544813156128  : <-Dash    : 10 84 01 | 01
11.673640012741089  : ->FOC     : 20 02 02 | 05 08
11.695123672485352  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
11.737958431243896  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 33 00 00 01 00
11.774778127670288  : <-Dash    : 10 84 01 | 01
