11.592031955718994  : ->BMS     : 31 02 02 | 02 2b
12.110422849655151  : ->BMS     : 31 02 02 | 2d 0f
12.66682767868042   : ->BMS     : 31 02 02 | 3c 28
16.890266180038452  : ->BMS     : 31 02 02 | 02 2b
17.40963864326477   : ->BMS     : 31 02 02 | 2d 0f
17.921452522277832  : ->BMS     : 31 02 02 | 3c 28
30.060522317886353  : ->FOC     : 20 01 01 | 01
30.172783136367798  : ->FOC     : 20 01 01 | 01
30.29600954055786   : ->FOC     : 20 01 01 | 01
30.412596225738525  : ->FOC     : 20 01 01 | 01
30.5294668674469    : ->FOC     : 20 01 01 | 01
30.646389961242676  : ->FOC     : 20 01 01 | 01
30.76317572593689   : ->FOC     : 20 01 01 | 01
30.869375705718994  : ->FOC     : 20 01 01 | 01
30.986487865447998  : ->FOC     : 20 01 01 | 01
31.106290102005005  : ->FOC     : 20 01 01 | 01
31.120306491851807  : <-FOC     : 20 81 01 | 00
31.215948581695557  : ->FOC     : 20 01 01 | 03
31.24873948097229   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
31.334361791610718  : ->FOC     : 20 01 01 | 02
31.365997552871704  : <-FOC     : 20 81 10 | 55 31 45 30 32 56 31 31 55 31 45 30 32 56 31 31
31.456989526748657  : ->FOC     : 20 01 01 | 04
31.467922925949097  : <-FOC     : 20 81 01 | 11
31.565274715423584  : ->FOC     : 20 05 02 | 1c 86
31.576171398162842  : <-FOC     : 20 85 01 | ce
31.733835697174072  : ->FOC     : 20 02 02 | 05 08
31.7552490234375    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
31.846617460250854  : ->BMS     : 31 02 02 | 2d 0f
31.974703073501587  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
32.13974905014038   : <-Dash    : 10 84 01 | 01
32.13974905014038   : ->FOC     : 20 02 02 | 05 08
32.13974905014038   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
32.217445611953735  : ->unknown : 70 02 02 | 20 06
32.3442280292511    : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
32.386252880096436  : <-Dash    : 10 84 01 | 01
32.466805934906006  : ->FOC     : 20 06 01 | 11
32.477824449539185  : <-FOC     : 20 86 00 | 
32.58186650276184   : ->FOC     : 20 02 02 | 05 08
32.602628231048584  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
32.69769763946533   : ->BMS     : 31 02 02 | 3c 28
32.8202178478241    : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
32.863404512405396  : <-Dash    : 10 84 01 | 01
32.94912004470825   : ->FOC     : 20 02 02 | 05 08
32.97081184387207   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
33.0677056312561    : ->BMS     : 31 02 02 | 02 2b
33.19095420837402   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
33.212701082229614  : <-Dash    : 10 84 01 | 01
33.30340385437012   : ->FOC     : 20 02 02 | 05 08
33.334991216659546  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
33.42142200469971   : ->unknown : 70 02 02 | 20 06
33.55732464790344   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
33.58959889411926   : <-Dash    : 10 84 01 | 01
33.674267530441284  : ->FOC     : 20 06 01 | 11
33.68527007102966   : <-FOC     : 20 86 00 | 
33.792105197906494  : ->FOC     : 20 02 02 | 05 08
33.81350135803223   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
33.89754915237427   : ->BMS     : 31 02 02 | 2d 0f
34.03455567359924   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
34.06700944900513   : <-Dash    : 10 84 01 | 01
34.14846086502075   : ->FOC     : 20 02 02 | 05 08
34.1803252696991    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
34.268410444259644  : ->unknown : 70 02 02 | 20 06
34.460665702819824  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
34.4927122592926    : <-Dash    : 10 84 01 | 01
34.580331802368164  : ->FOC     : 20 02 02 | 05 08
34.60158967971802   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
34.68638801574707   : ->BMS     : 31 02 02 | 3c 28
34.818968772888184  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
34.851096630096436  : <-Dash    : 10 84 01 | 01
34.935336112976074  : ->FOC     : 20 06 01 | 11
34.946608781814575  : <-FOC     : 20 86 00 | 
35.05239295959473   : ->FOC     : 20 02 02 | 05 08
35.083619832992554  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
35.16795039176941   : ->BMS     : 31 02 02 | 02 2b
35.300878047943115  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
35.322246074676514  : <-Dash    : 10 84 01 | 01
35.425657749176025  : ->FOC     : 20 02 02 | 05 08
